CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
SLM23L13,828,246.4211086359324,"['AGUADAS', 'MARULANDA', 'PENSILVANIA', 'SALAMINA']",257.0,3714.5,257.0,157,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CR', '3IG', '3OS', '3RL']",157
DON23L13,1377,213.82287021666886,"['LA DORADA', 'VICTORIA']",204.0,4277.5,204.0,155,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3IG', '3OS', '3RL']",155
FIL23L13,820,168.7884135253931,"['ARANZAZU', 'FILADELFIA', 'NEIRA', 'RIOSUCIO']",262.0,4770.5,262.0,172,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3IG', '3OS', '3RL']",172
MAZ23L14,513,167.2202919323716,"['MANZANARES', 'MARULANDA', 'SALAMINA']",151.0,2218.5,151.0,84,"['1CC', '2CC', '2OS', '2RL', '3CC', '3IG', '3OS', '3RL']",84
PSV23L13,547,146.73796739786113,"['NARIÑO', 'PENSILVANIA', 'SAMANA']",180.0,3697.5,178.0,99,"['1CC', '2CC', '2CFR', '3CC', '3CR', '3OS', '3RG', '3RL']",99
NSA23L14,513,145.3595768180863,"['NORCASIA', 'SAMANA']",169.0,2096.5,169.0,76,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3IG', '3OS', '3RL']",76
AGU23L15,634,144.09529175088178,"['ABEJORRAL', 'AGUADAS', 'CARAMANTA', 'PACORA', 'SANTA BARBARA']",203.0,3604.0,203.0,127,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",127
HER23L16,789,138.41717452586258,['SANTA ROSA DE CABAL'],267.0,7564.0,267.0,123,"['1CC', '2CC', '2CFR', '2CR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",122
PRA23L13,597,134.7418306111516,"['AGUADAS', 'MARMATO', 'PACORA']",187.0,3369.0,187.0,114,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",114
VMA23L16,537,132.59382677182072,"['SANTA ROSA DE CABAL', 'VILLAMARIA']",172.0,2777.0,172.0,71,"['1CC', '2CC', '2CFR', '2CR', '3CC', '3CR', '3IG', '3OS', '3RL', 'REVISAR']",71
AZU23L15,570,132.27105587148668,"['ARANZAZU', 'FILADELFIA', 'LA MERCED', 'NEIRA', 'SALAMINA']",177.0,3105.0,177.0,100,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",100
NSA23L12,490,130.406189053989,"['LA DORADA', 'NORCASIA', 'SAMANA', 'VICTORIA']",142.0,1279.0,142.0,69,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3IG', '3OS', '3RL']",69
BOA23L13,551,126.3640700232854,"['BALBOA', 'EL AGUILA', 'LA CELIA', 'SANTUARIO']",232.0,4400.0,232.0,121,"['1CC', '1OS', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",121
SNA23L15,505,124.88325721489308,"['NORCASIA', 'SAMANA', 'VICTORIA']",148.0,1322.5,148.0,96,"['1CC', '1CFR', '2CC', '2CFR', '2CR', '2OS', '3CC', '3CFR', '3OS', '3RG', '3RL']",96
AGU23L14,452,114.501067936613,['AGUADAS'],154.0,2003.0,154.0,63,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",63
AMA23L12,575,112.71348544721388,"['ANSERMA', 'GUATICA', 'NEIRA']",200.0,3606.5,200.0,108,"['1CC', '1CFR', '2CC', '2CFR', '2RL', '3CC', '3CFR', '3IG', '3OS', '3RL']",108
VBO23L14,606,111.05026022072678,"['ANSERMA', 'BELALCAZAR', 'BELEN DE UMBRIA', 'RISARALDA', 'SAN JOSE', 'VITERBO']",203.0,6306.0,203.0,112,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OC', '3OS', '3RL']",112
VBO23L15,550,108.83972390419245,"['APIA', 'BELEN DE UMBRIA', 'SAN JOSE', 'VITERBO']",201.0,4225.5,201.0,103,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3IG', '3OS', '3RL']",100
